region,state,school,city,website,category,teams
Southeast,MS,Madison-Ridgeland Academy,Madison,mrapats.org,Christian/Private,Both
Mid-Atlantic,NJ,The Patrick School,Hillside,thepatrickschool.org,National Prep Academy,Boys
Mid-Atlantic,NJ,Life Center Academy,Burlington,lcanj.org,National Prep Academy,Both
Mid-Atlantic,NJ,St. Benedict's Preparatory School,Newark,sbp.org,Independent (Catholic),Boys
Mid-Atlantic,NJ,Roselle Catholic High School,Roselle,rosellecatholic.org,Catholic League,Both
Mid-Atlantic,NJ,Blair Academy,Blairstown,blair.edu,Independent (boarding),Both
Mid-Atlantic,NJ,The Peddie School,Hightstown,peddie.org,Independent (boarding),Both
Mid-Atlantic,NJ,The Hun School of Princeton,Princeton,hunschool.org,Independent,Both
Mid-Atlantic,NJ,The Pennington School,Pennington,pennington.org,Independent,Both
Mid-Atlantic,NJ,The Lawrenceville School,Lawrenceville,lawrenceville.org,Independent (boarding),Both
Mid-Atlantic,NJ,Gill St. Bernard's School,Peapack-Gladstone,gsbschool.org,Independent,Both
Mid-Atlantic,NJ,Ranney School,Tinton Falls,ranneyschool.org,Independent,Both
Mid-Atlantic,NJ,Rutgers Preparatory School,Somerset,rutgersprep.org,Independent,Both
Mid-Atlantic,NJ,Saddle River Day School,Saddle River,saddleriverday.org,Independent,Both
Mid-Atlantic,PA,Westtown School,West Chester,westtown.edu,National Prep Academy/Independent,Both
Mid-Atlantic,PA,Perkiomen School,Pennsburg,perkiomen.org,Postgrad Program/Independent,Both
Mid-Atlantic,PA,The Hill School,Pottstown,thehill.org,Independent (boarding),Both
Mid-Atlantic,PA,The Kiski School,Saltsburg,kiski.org,Postgrad Program/Independent,Boys
Mid-Atlantic,PA,George School,Newtown,georgeschool.org,Independent (boarding),Both
Mid-Atlantic,PA,Neumann-Goretti High School,Philadelphia,neumanngoretti.org,Catholic League (PCL),Both
Mid-Atlantic,PA,Roman Catholic High School,Philadelphia,romancatholichs.com,Catholic League (PCL),Boys
Mid-Atlantic,PA,Archbishop Wood High School,Warminster,archwood.org,Catholic League (PCL),Both
Mid-Atlantic,PA,La Salle College High School,Wyndmoor,lschs.org,Catholic League (PCL),Boys
Mid-Atlantic,PA,Malvern Preparatory School,Malvern,malvernprep.org,Independent (Catholic),Boys
Mid-Atlantic,PA,Monsignor Bonner & Archbishop Prendergast,Drexel Hill,bonnerprendie.com,Catholic League (PCL),Both
Mid-Atlantic,PA,Father Judge High School,Philadelphia,fatherjudge.com,Catholic League (PCL),Boys
Mid-Atlantic,PA,Cardinal O'Hara High School,Springfield,cardinaloharahs.com,Catholic League (PCL),Both
Mid-Atlantic,PA,Germantown Academy,Fort Washington,germantownacademy.org,Independent,Both
Mid-Atlantic,PA,The Haverford School,Haverford,haverford.org,Independent,Boys
Mid-Atlantic,PA,The Episcopal Academy,Newtown Square,episcopalacademy.org,Independent,Both
Mid-Atlantic,PA,William Penn Charter School,Philadelphia,penncharter.com,Independent,Both
Mid-Atlantic,DE,Sanford School,Hockessin,sanfordschool.org,Independent,Both
Mid-Atlantic,DE,Salesianum School,Wilmington,salesianum.org,Catholic,Boys
Mid-Atlantic,DE,St. Elizabeth High School,Wilmington,stelizabethschools.org,Catholic,Both
Mid-Atlantic,DE,St. Mark's High School,Wilmington,saintmarkshs.net,Catholic,Both
Mid-Atlantic,MD,DeMatha Catholic High School,Hyattsville,dematha.org,Catholic League (WCAC),Boys
Mid-Atlantic,MD,St. Frances Academy,Baltimore,sfacademy.org,National Prep Academy/Catholic,Both
Mid-Atlantic,MD,Mount Saint Joseph High School,Baltimore,msjnet.edu,Catholic (MIAA),Boys
Mid-Atlantic,MD,Calvert Hall College High School,Towson,calverthall.com,Catholic (MIAA),Boys
Mid-Atlantic,MD,Loyola Blakefield,Towson,loyolablakefield.org,Catholic (MIAA),Boys
Mid-Atlantic,MD,Archbishop Spalding High School,Severn,archbishopspalding.org,Catholic (MIAA),Both
Mid-Atlantic,MD,Bishop McNamara High School,Forestville,bmhs.org,Catholic League (WCAC),Both
Mid-Atlantic,MD,Our Lady of Good Counsel High School,Olney,olgchs.org,Catholic League (WCAC),Both
Mid-Atlantic,MD,Gilman School,Baltimore,gilman.edu,Independent,Boys
Mid-Atlantic,MD,St. Paul's School,Brooklandville,stpaulsschool.org,Independent,Boys
Mid-Atlantic,MD,McDonogh School,Owings Mills,mcdonogh.org,Independent,Both
Mid-Atlantic,MD,Bullis School,Potomac,bullis.org,Independent,Both
Mid-Atlantic,MD,Georgetown Preparatory School,North Bethesda,gprep.org,Independent (Catholic),Boys
Mid-Atlantic,MD,St. Andrew's Episcopal School,Potomac,saes.org,Independent,Both
Mid-Atlantic,MD,Riverdale Baptist School,Upper Marlboro,rbschool.org,National Prep/Christian,Both
Mid-Atlantic,MD,Glenelg Country School,Ellicott City,glenelg.org,Independent,Both
Mid-Atlantic,MD,Gerstell Academy,Finksburg,gerstell.org,Independent,Both
Mid-Atlantic,MD,St. John's Catholic Prep,Buckeystown,saintjohnsprep.org,Catholic,Both
Mid-Atlantic,DC,Gonzaga College High School,Washington,gonzaga.org,Catholic League (WCAC),Boys
Mid-Atlantic,DC,St. John's College High School,Washington,stjohns-chs.org,Catholic League (WCAC),Both
Mid-Atlantic,DC,Archbishop Carroll High School,Washington,archbishopcarroll.org,Catholic League (WCAC),Both
Mid-Atlantic,DC,Sidwell Friends School,Washington,sidwell.edu,Independent,Both
Mid-Atlantic,DC,Maret School,Washington,maret.org,Independent,Both
Mid-Atlantic,DC,Georgetown Day School,Washington,gds.org,Independent,Both
Mid-Atlantic,DC,St. Anselm's Abbey School,Washington,saintanselms.org,Independent (Catholic),Boys
Mid-Atlantic,DC,Georgetown Visitation Preparatory,Washington,visi.org,Catholic (girls),Girls
Mid-Atlantic,DC,National Cathedral School,Washington,ncs.cathedral.org,Independent (girls),Girls
Mid-Atlantic,VA,Oak Hill Academy,Mouth of Wilson,oakhillacademy.org,National Prep Academy,Boys
Mid-Atlantic,VA,Fork Union Military Academy,Fork Union,forkunion.com,Postgrad Program,Boys
Mid-Atlantic,VA,Hargrave Military Academy,Chatham,hargrave.edu,Postgrad Program,Boys
Mid-Atlantic,VA,Massanutten Military Academy,Woodstock,militaryschool.com,Postgrad Program/Prep,Boys
Mid-Atlantic,VA,Fishburne Military School,Waynesboro,fishburne.org,Postgrad Program,Boys
Mid-Atlantic,VA,St. Anne's-Belfield School,Charlottesville,stab.org,Independent,Both
Mid-Atlantic,VA,Miller School of Albemarle,Charlottesville,millerschool.org,Independent (boarding),Both
Mid-Atlantic,VA,Blue Ridge School,St. George,blueridgeschool.com,Independent (boys boarding),Boys
Mid-Atlantic,VA,St. Paul VI Catholic High School,Chantilly,paulvi.net,Catholic League (WCAC),Both
Mid-Atlantic,VA,Bishop O'Connell High School,Arlington,bishopoconnell.org,Catholic League (WCAC),Both
Mid-Atlantic,VA,Bishop Ireton High School,Alexandria,bishopireton.org,Catholic League (WCAC),Both
Mid-Atlantic,VA,Benedictine College Preparatory,Richmond,benedictinecollegeprep.org,Catholic,Boys
Mid-Atlantic,VA,Trinity Episcopal School,Richmond,trinityes.org,Independent,Both
Mid-Atlantic,VA,Flint Hill School,Oakton,flinthill.org,Independent,Both
Mid-Atlantic,VA,The Potomac School,McLean,potomacschool.org,Independent,Both
Mid-Atlantic,VA,Episcopal High School,Alexandria,episcopalhighschool.org,Independent (boarding),Both
Mid-Atlantic,VA,Highland School,Warrenton,highlandschool.org,Independent,Both
Mid-Atlantic,VA,Cape Henry Collegiate,Virginia Beach,capehenry.org,Independent,Both
Mid-Atlantic,VA,Norfolk Academy,Norfolk,norfolkacademy.org,Independent,Both
Mid-Atlantic,VA,Nansemond-Suffolk Academy,Suffolk,nsacademy.org,Independent,Both
Mid-Atlantic,VA,Bishop Sullivan Catholic High School,Virginia Beach,bishopsullivan.org,Catholic,Both
Mid-Atlantic,VA,Virginia Episcopal School,Lynchburg,ves.org,Independent (boarding),Both
Mid-Atlantic,WV,Huntington Prep (Expression Prep),Huntington,expressionprep.org,National Prep Academy,Boys
Mid-Atlantic,WV,Wheeling Central Catholic High School,Wheeling,wheelingcentral.com,Catholic,Both
Mid-Atlantic,WV,Charleston Catholic High School,Charleston,charlestoncatholic-crw.org,Catholic,Both
South-Central,AZ,AZ Compass Prep,Chandler,azcompassprep.com,National Prep Academy/Postgrad,Both
South-Central,AZ,Bella Vista College Preparatory,Scottsdale,bellavistacollegeprep.com,National Prep Academy/Postgrad,Boys
South-Central,AZ,Dream City Christian School,Glendale,dreamcityschools.org,National Prep Academy/Christian,Both
South-Central,AZ,Hillcrest Prep,Phoenix,hillcrestprepbasketball.com,National Prep Academy/Postgrad,Boys
South-Central,AZ,PHH Prep (Phoenix Prep),Phoenix,phhoenixprep.com,National Prep Academy/Postgrad,Boys
South-Central,TX,Dynamic Prep,Irving,dynamicpreparatory.com,National Prep Academy,Boys
South-Central,TX,Legion Preparatory Academy,Dallas,legionprep.org,Independent/Christian Prep,Both
South-Central,TX,Prestonwood Christian Academy,Plano,prestonwoodchristian.org,Christian/Private (TAPPS),Both
South-Central,TX,John Paul II High School,Plano,johnpauliihs.org,Christian/Private (TAPPS),Both
South-Central,TX,Bishop Lynch High School,Dallas,bishoplynch.org,Christian/Private (TAPPS),Both
South-Central,TX,Nolan Catholic High School,Fort Worth,nolancatholic.org,Christian/Private (TAPPS),Both
South-Central,TX,Grace Preparatory Academy,Arlington,graceprep.org,Christian/Private (TAPPS),Both
South-Central,TX,Ursuline Academy of Dallas,Dallas,ursulinedallas.org,Christian/Private (girls),Girls
South-Central,TX,Faith West Academy,Katy,faithwest.org,Christian/Private,Both
South-Central,OK,Crossover Preparatory Academy,Tulsa,crossoverprep.org,Christian/Private Prep,Both
South-Central,OK,Grind Prep Academy,Oklahoma City,grindprepacademy.org,National Prep Academy,Both
South-Central,OK,Victory Christian School,Tulsa,vcstulsa.org,Christian/Private,Both
South-Central,OK,Metro Christian Academy,Tulsa,metroca.com,Christian/Private,Both
South-Central,OK,Bishop McGuinness Catholic HS,Oklahoma City,bmchs.org,Christian/Private (Catholic),Both
South-Central,OK,Heritage Hall School,Oklahoma City,heritagehall.com,Independent/Private,Both
South-Central,OK,Oklahoma Christian School,Edmond,ocssaints.org,Christian/Private,Both
South-Central,OK,Community Christian School,Norman,communitychristianschool.com,Christian/Private,Both
South-Central,AR,Little Rock Christian Academy,Little Rock,littlerockchristian.com,Christian/Private,Both
South-Central,AR,Baptist Preparatory School,Little Rock,baptistprep.org,Christian/Private,Both
South-Central,AR,Central Arkansas Christian,North Little Rock,cacmustangs.org,Christian/Private,Both
South-Central,LA,Evangel Christian Academy,Shreveport,evangelacademy.com,Christian/Private,Both
South-Central,NM,Southern New Mexico Prep Academy,Alamogordo,snmpa.org,National Prep/Independent,Both
South-Central,NM,Hope Christian School,Albuquerque,hopechristianschool.org,Christian/Private,Both
South-Central,NM,Albuquerque Academy,Albuquerque,aa.edu,Independent/Private,Both
South-Central,NM,Sandia Preparatory School,Albuquerque,sandiaprep.org,Independent/Private,Both
South-Central,CO,Colorado Prep,Colorado Springs,coprep.org,National Prep Academy/Postgrad,Both
West,CA,Prolific Prep,Napa,prolificprep.org,National Prep Academy/Postgrad,Boys
West,CA,SoCal Academy,San Juan Capistrano,academysocal.com,National Prep Academy,Both
West,CA,Fairmont Preparatory Academy,Anaheim,fairmontschools.com,Independent,Both
West,CA,Sierra Canyon School,Chatsworth,sierracanyonschool.org,Independent,Both
West,CA,Mater Dei High School,Santa Ana,materdei.org,Christian/Private (Catholic),Both
West,CA,Harvard-Westlake School,Studio City,hw.com,Independent,Both
West,CA,St. John Bosco High School,Bellflower,bosco.org,Christian/Private (Catholic),Boys
West,CA,Damien High School,La Verne,damien-hs.edu,Christian/Private (Catholic),Boys
West,CA,Bishop Montgomery High School,Torrance,bishopmontgomery.org,Christian/Private (Catholic),Both
West,CA,Chaminade College Preparatory,West Hills,chaminade.org,Christian/Private (Catholic),Both
West,CA,Windward School,Los Angeles,windwardschool.org,Independent,Both
West,CA,Campbell Hall,Studio City,campbellhall.org,Independent,Both
West,CA,Crossroads School,Santa Monica,xrds.org,Independent,Both
West,CA,Village Christian School,Sun Valley,villagechristian.org,Christian/Private,Both
West,CA,Flintridge Prep,La Canada Flintridge,flintridgeprep.org,Independent,Both
West,CA,Flintridge Sacred Heart,La Canada Flintridge,fsha.org,Christian/Private (girls),Girls
West,CA,Rosary Academy,Fullerton,rosaryacademy.org,Christian/Private (girls),Girls
West,CA,JSerra Catholic High School,San Juan Capistrano,jserra.org,Christian/Private (Catholic),Both
West,CA,Santa Margarita Catholic,Rancho Santa Margarita,smhs.org,Christian/Private (Catholic),Both
West,CA,Orange Lutheran High School,Orange,lhsoc.org,Christian/Private,Both
West,CA,Rancho Christian School,Temecula,ranchochristian.org,Christian/Private,Both
West,CA,Modesto Christian School,Modesto,modestochristian.org,Christian/Private,Both
West,CA,Archbishop Mitty High School,San Jose,mitty.com,Christian/Private (Catholic),Both
West,CA,Bishop O'Dowd High School,Oakland,bishopodowd.org,Christian/Private (Catholic),Both
West,CA,Salesian College Preparatory,Richmond,salesian.com,Christian/Private (Catholic),Both
West,CA,St. Joseph Notre Dame,Alameda,sjnd.org,Christian/Private (Catholic),Both
West,CA,De La Salle High School,Concord,dlshs.org,Christian/Private (Catholic),Boys
West,CA,Carondelet High School,Concord,carondeleths.org,Christian/Private (girls),Girls
West,CA,St. Ignatius College Prep,San Francisco,siprep.org,Christian/Private (Catholic),Both
West,CA,Sacred Heart Cathedral Prep,San Francisco,shcp.edu,Christian/Private (Catholic),Both
West,CA,Archbishop Riordan High School,San Francisco,riordanhs.org,Christian/Private (Catholic),Both
West,CA,Moreau Catholic High School,Hayward,moreaucatholic.org,Christian/Private (Catholic),Both
West,CA,St. Mary's High School,Stockton,stmaryshighschool.org,Christian/Private (Catholic),Both
West,CA,Cardinal Newman High School,Santa Rosa,cardinalnewman.org,Christian/Private (Catholic),Both
West,CA,Cathedral Catholic High School,San Diego,cathedralcatholic.org,Christian/Private (Catholic),Both
West,CA,Mater Dei Catholic,Chula Vista,materdeicatholic.org,Christian/Private (Catholic),Both
West,CA,St. Augustine High School,San Diego,sahs.org,Christian/Private (Catholic),Boys
West,CA,Foothills Christian High School,El Cajon,foothillsschool.net,Christian/Private,Both
West,CA,The Bishop's School,La Jolla,bishops.com,Independent (Episcopal),Both
West,CA,Francis Parker School,San Diego,francisparker.org,Independent,Both
West,NV,Bishop Gorman High School,Las Vegas,bishopgorman.org,Christian/Private (Catholic),Both
West,NV,Faith Lutheran Middle & High,Las Vegas,faithlutheranlv.org,Christian/Private,Both
West,NV,The Meadows School,Las Vegas,themeadowsschool.org,Independent,Both
West,NV,Bishop Manogue Catholic,Reno,bishopmanogue.org,Christian/Private (Catholic),Both
West,UT,Wasatch Academy,Mount Pleasant,wasatchacademy.org,National Prep Academy,Both
West,UT,Utah Prep Academy,Hurricane,utahprep.com,National Prep Academy,Boys
West,UT,Layton Christian Academy,Layton,lcaeagle.org,Christian/Private,Both
West,UT,Juan Diego Catholic High School,Draper,juandiegocatholic.org,Christian/Private (Catholic),Both
West,UT,The Waterford School,Sandy,waterfordschool.org,Independent,Both
West,WA,O'Dea High School,Seattle,odea.org,Christian/Private (Catholic),Boys
West,WA,Gonzaga Preparatory School,Spokane,gprep.com,Christian/Private (Catholic),Both
West,WA,Seattle Preparatory School,Seattle,seaprep.org,Christian/Private (Catholic),Both
West,WA,Eastside Catholic School,Sammamish,eastsidecatholic.org,Christian/Private (Catholic),Both
West,WA,Bishop Blanchet High School,Seattle,bishopblanchet.org,Christian/Private (Catholic),Both
West,WA,The King's Schools,Shoreline,kingsschools.org,Christian/Private,Both
West,WA,Bellevue Christian School,Clyde Hill,bellevuechristian.org,Christian/Private,Both
West,WA,Lakeside School,Seattle,lakesideschool.org,Independent,Both
West,WA,The Overlake School,Redmond,overlake.org,Independent,Both
West,OR,Jesuit High School,Beaverton,jesuitportland.org,Christian/Private (Catholic),Both
West,OR,Central Catholic High School,Portland,centralcatholichigh.org,Christian/Private (Catholic),Both
West,OR,La Salle Catholic College Prep,Milwaukie,lsprep.org,Christian/Private (Catholic),Both
West,OR,De La Salle North Catholic,Portland,delasallenorth.org,Christian/Private (Catholic),Both
West,OR,Oregon Episcopal School,Portland,oes.edu,Independent (Episcopal),Both
West,OR,Westside Christian High School,Tigard,westsidechristian.org,Christian/Private,Both
West,OR,Portland Christian Schools,Portland,portlandchristian.org,Christian/Private,Both
West,ID,Bishop Kelly High School,Boise,bk.org,Christian/Private (Catholic),Both
West,ID,Nampa Christian Schools,Nampa,nampachristianschools.org,Christian/Private,Both
West,MT,Loyola Sacred Heart High School,Missoula,loyolasacredheart.org,Christian/Private (Catholic),Both
West,MT,Billings Central Catholic,Billings,billingscatholicschools.org,Christian/Private (Catholic),Both
West,AK,Grace Christian School,Anchorage,gracechristianalaska.org,Christian/Private,Both
West,AK,Anchorage Christian Schools,Anchorage,acsak.org,Christian/Private,Both
West,AK,Lumen Christi Catholic High School,Anchorage,lumenchristiak.org,Christian/Private (Catholic),Both
West,AK,Monroe Catholic High School,Fairbanks,catholicschoolsfairbanks.org,Christian/Private (Catholic),Both
West,HI,Punahou School,Honolulu,punahou.edu,Independent,Both
West,HI,'Iolani School,Honolulu,iolani.org,Independent,Both
West,HI,Kamehameha Schools (Kapalama),Honolulu,ksbe.edu,Christian/Private,Both
West,HI,Saint Louis School,Honolulu,saintlouishawaii.org,Christian/Private (Catholic),Boys
West,HI,Maryknoll School,Honolulu,maryknollschool.org,Christian/Private (Catholic),Both
West,HI,Damien Memorial School,Honolulu,damien.edu,Christian/Private (Catholic),Both
West,HI,Mid-Pacific Institute,Honolulu,midpac.edu,Independent,Both
West,HI,Hawaii Preparatory Academy,Waimea,hpa.edu,Independent (boarding),Both
Midwest,OH,SPIRE Academy,Geneva,spireacademy.com,National Prep Academy/Postgrad,Both
Midwest,OH,St. Vincent-St. Mary HS,Akron,stvm.com,Catholic,Both
Midwest,OH,Archbishop Moeller HS,Cincinnati,moeller.org,Catholic,Boys
Midwest,OH,St. Edward HS,Lakewood,sehs.net,Catholic,Boys
Midwest,OH,St. Ignatius HS,Cleveland,ignatius.edu,Catholic,Boys
Midwest,OH,Villa Angela-St. Joseph (VASJ),Cleveland,vasj.com,Catholic,Both
Midwest,OH,Walsh Jesuit HS,Cuyahoga Falls,walshjesuit.org,Catholic,Both
Midwest,OH,Archbishop Alter HS,Kettering,alterhs.org,Catholic,Both
Midwest,OH,Chaminade Julienne HS,Dayton,cjeagles.org,Catholic,Both
Midwest,OH,Purcell Marian HS,Cincinnati,purcellmarian.org,Catholic,Both
Midwest,OH,Mount Notre Dame HS,Cincinnati,mndhs.org,Catholic (girls),Girls
Midwest,OH,Cincinnati Hills Christian Academy,Cincinnati,chca-oh.org,Christian,Both
Midwest,OH,Bishop Hartley HS,Columbus,bishophartley.org,Catholic,Both
Midwest,OH,Lutheran East HS,Cleveland Heights,lutheraneast.net,Christian,Both
Midwest,IN,La Lumiere School,La Porte,lalumiere.org,National Prep Academy,Both
Midwest,IN,Culver Academies,Culver,culver.org,Independent (boarding),Both
Midwest,IN,Cathedral HS,Indianapolis,gocathedral.com,Catholic,Both
Midwest,IN,Brebeuf Jesuit Prep,Indianapolis,brebeuf.org,Catholic,Both
Midwest,IN,Park Tudor School,Indianapolis,parktudor.org,Independent,Both
Midwest,IN,Heritage Christian School,Indianapolis,heritagechristian.net,Christian,Both
Midwest,IN,Guerin Catholic HS,Noblesville,guerincatholic.org,Catholic,Both
Midwest,IN,Bishop Chatard HS,Indianapolis,bishopchatard.org,Catholic,Both
Midwest,IN,Marian HS,Mishawaka,marianhs.org,Catholic,Both
Midwest,IN,Andrean HS,Merrillville,andreanhs.org,Catholic,Both
Midwest,IN,Bishop Luers HS,Fort Wayne,bishopluers.org,Catholic,Both
Midwest,IN,Bishop Dwenger HS,Fort Wayne,bishopdwenger.org,Catholic,Both
Midwest,IN,Blackhawk Christian School,Fort Wayne,blackhawkchristian.org,Christian,Both
Midwest,IL,Mount Carmel HS,Chicago,mchs.org,Catholic,Boys
Midwest,IL,DePaul College Prep,Chicago,depaulprep.org,Catholic,Both
Midwest,IL,Benet Academy,Lisle,benet.org,Catholic,Both
Midwest,IL,Marist HS,Chicago,marist.net,Catholic,Both
Midwest,IL,Brother Rice HS,Chicago,brotherrice.org,Catholic,Boys
Midwest,IL,St. Rita of Cascia HS,Chicago,stritahs.com,Catholic,Boys
Midwest,IL,Providence Catholic HS,New Lenox,providencecatholic.org,Catholic,Both
Midwest,IL,Montini Catholic HS,Lombard,montini.org,Catholic,Both
Midwest,IL,Fenwick HS,Oak Park,fenwickfriars.com,Catholic,Both
Midwest,IL,Loyola Academy,Wilmette,goramblers.org,Catholic,Both
Midwest,IL,Nazareth Academy,La Grange Park,nazarethacademy.com,Catholic,Both
Midwest,IL,Marmion Academy,Aurora,marmion.org,Catholic,Boys
Midwest,IL,Boylan Catholic HS,Rockford,boylan.org,Catholic,Both
Midwest,MI,Detroit Country Day School,Beverly Hills,dcds.edu,Independent,Both
Midwest,MI,Orchard Lake St. Mary's Prep,Orchard Lake,stmarysprep.com,Catholic,Boys
Midwest,MI,Detroit Catholic Central HS,Novi,catholiccentral.net,Catholic,Boys
Midwest,MI,U of Detroit Jesuit HS,Detroit,uofdjesuit.org,Catholic,Boys
Midwest,MI,Grand Rapids Catholic Central,Grand Rapids,grcatholiccentral.org,Catholic,Both
Midwest,MI,Flint Powers Catholic HS,Flint,powerscatholic.org,Catholic,Both
Midwest,MI,Notre Dame Prep,Pontiac,ndpma.org,Catholic,Both
Midwest,MN,Minnehaha Academy,Minneapolis,minnehahaacademy.net,Independent/Christian,Both
Midwest,MN,DeLaSalle HS,Minneapolis,delasalle.com,Catholic,Both
Midwest,MN,Cretin-Derham Hall,St. Paul,cdh.org,Catholic,Both
Midwest,MN,Totino-Grace HS,Fridley,totinograce.org,Catholic,Both
Midwest,MN,Benilde-St. Margaret's,St. Louis Park,bsmschool.org,Catholic,Both
Midwest,MN,Breck School,Golden Valley,breckschool.org,Independent,Both
Midwest,MN,St. Thomas Academy,Mendota Heights,cadets.com,Catholic,Boys
Midwest,MN,Academy of Holy Angels,Richfield,ahastars.org,Catholic,Both
Midwest,IA,Dowling Catholic HS,West Des Moines,dowlingcatholic.org,Catholic,Both
Midwest,IA,Cedar Rapids Xavier HS,Cedar Rapids,crxavier.org,Catholic,Both
Midwest,IA,Bishop Heelan Catholic HS,Sioux City,bishopheelan.org,Catholic,Both
Midwest,IA,Wahlert Catholic HS,Dubuque,wahlertcatholic.org,Catholic,Both
Midwest,IA,Regina Catholic (Iowa City),Iowa City,reginacatholic.org,Catholic,Both
Midwest,MO,Link Academy,Branson,linkacademylions.com,National Prep Academy,Both
Midwest,MO,Chaminade College Prep,St. Louis,chaminade-stl.org,Catholic,Boys
Midwest,MO,Christian Brothers College (CBC),St. Louis,cbchs.org,Catholic,Boys
Midwest,MO,De Smet Jesuit HS,St. Louis,desmet.org,Catholic,Boys
Midwest,MO,St. Louis University HS (SLUH),St. Louis,sluh.org,Catholic,Boys
Midwest,MO,Cardinal Ritter College Prep,St. Louis,cardinalritterprep.net,Catholic,Both
Midwest,MO,Rockhurst HS,Kansas City,rockhursths.edu,Catholic,Boys
Midwest,MO,Incarnate Word Academy,St. Louis,iwacademy.org,Catholic (girls),Girls
Midwest,MO,Father Tolton Catholic HS,Columbia,toltoncatholic.org,Catholic,Both
Midwest,MO,The Barstow School,Kansas City,barstowschool.org,Independent,Both
Midwest,MO,Lutheran HS North,St. Louis,lhsnstl.org,Christian,Both
Midwest,KS,Sunrise Christian Academy,Bel Aire,sunrisechristian.org,National Prep Academy,Both
